id_host_anon,id_listing_anon,room_type,listing_neighborhood,listing_bookings,total_reviews,total_guests,total_interactions,average_booking_time_hrs,booking_rate
5426897d-960d-4013-9e38-606ae746793c,a408a8b2-0d44-4513-a611-3736d0409bb2,Entire home/apt,Copacabana,1.0,18.0,6.0,36,0.013275462962962963,0.5
f30417c5-6df4-45ac-bfc2-6ad1cce398ab,e387c705-0aeb-464c-9375-ece63be6f006,Entire home/apt,Copacabana,0.0,0.0,5.0,2,,0.0
13cbf50a-3272-45d4-9866-a06b6ea1b99a,d1eb1960-938f-4305-a353-51e224414dd4,Private room,Vidigal,4.0,441.0,14.0,52,2.8935185185185184e-06,0.4444444444444444
01614601-d5a4-4776-ab9b-c10d3b865bf0,855f6779-346c-45fc-a64b-ea133250ca7a,Entire home/apt,Copacabana,4.0,119.0,19.0,45,0.014968171296296297,0.5714285714285714
f2fed6f3-4c5c-453d-9e64-37c62b8bd06d,f2928a59-c5e7-42b2-9c37-240a40f38dc0,Entire home/apt,Ipanema,2.0,2.0,7.0,28,4.6296296296296294e-05,1.0
90334ef3-f489-45a0-89e0-d18d370e4a1c,5dd24057-774c-45b3-b305-ebf664246952,Entire home/apt,Copacabana,0.0,0.0,2.0,8,,0.0
10dc3fc4-694f-44b2-aaac-9dbace0ebabd,259d4a6c-dcda-4ff2-85cb-2882f6801b3a,Entire home/apt,Copacabana,0.0,0.0,6.0,7,,0.0
7e0696cb-6321-4d60-a8e9-793ee14724fd,75de5296-f7df-45d2-9c18-af332a082784,Private room,-unknown-,17.0,780.0,20.0,205,4.153270016339868,0.85
1c990fca-5b09-4eca-bdcf-d9e923112f04,f6822854-6d3c-4cfd-a983-49603a401771,Private room,-unknown-,7.0,400.0,13.0,87,0.030543981481481484,0.7
2bd81140-3d71-4fd9-add3-5998f9263c57,cff02e60-1205-42fa-afd4-0c23029ce32e,Entire home/apt,-unknown-,0.0,3.0,4.0,6,,0.0
7a7c50a7-2a19-44a7-ab5c-b2b658ebcf8b,472ead4a-63a3-422e-8c98-1745f773e2c0,Entire home/apt,Leme,0.0,6.0,6.0,4,,0.0
bf6e95ec-966d-46af-9bfe-f2dd91523571,1f51882a-4abd-4bd4-be6d-a75ae8be4986,Entire home/apt,-unknown-,0.0,0.0,10.0,9,,0.0
3d046d4c-b456-4fdc-b1db-9ee1a7a441a9,96169363-f4e6-4a15-8a2f-90d93c6ae469,Entire home/apt,Ipanema,2.0,16.0,16.0,44,79.74546875,0.5
a66f8d54-84ac-4220-9296-a5037370a5b6,64930c5b-232a-4c93-af86-fe8e8dfc276c,Private room,-unknown-,5.0,192.0,8.0,43,0.03857638888888889,0.8333333333333334
e540b776-3f0f-498b-ad8a-a0ecc54df286,efbd8ae0-75e5-4d05-be3a-1c150ce3a9fd,Entire home/apt,Glória,0.0,12.0,3.0,5,,0.0
efa7ea8b-e78c-48d1-abfd-1dfc06c48e61,4c1011e5-da80-4c45-a5f9-a5ae9ff4e58f,Entire home/apt,Gávea,4.0,45.0,9.0,256,0.0167505787037037,0.8
